f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
0,6,4,4,142,4,4,3,2,0,3,0,67,2,1,1,2,0,1,0,0
1,48,2,4,770,0,2,1,1,0,1,0,22,2,1,0,2,0,0,0,1
3,12,4,7,390,0,3,1,2,0,2,0,49,2,1,0,1,1,0,0,0
0,42,2,3,848,0,3,1,2,2,3,1,45,2,2,0,2,1,0,0,0
0,24,3,0,734,0,2,2,2,0,3,3,53,2,2,1,2,1,0,0,1
3,36,2,7,869,4,2,1,2,0,3,3,35,2,2,0,1,1,1,0,0
3,24,2,3,533,2,4,2,2,0,3,1,53,2,1,0,2,0,0,0,0
1,36,2,1,813,0,2,1,2,0,1,2,35,2,0,0,3,0,1,0,0
3,12,2,4,562,3,3,1,0,0,3,0,61,2,1,0,1,0,0,0,0
1,30,4,0,747,0,0,3,3,0,1,2,28,2,1,1,3,0,0,0,1
1,12,2,0,190,0,1,2,1,0,0,2,25,2,0,0,2,0,0,0,1
0,48,2,9,700,0,1,2,1,0,3,1,24,2,0,0,2,0,0,0,1
1,12,2,4,287,0,2,0,1,0,0,2,22,2,1,0,2,0,1,0,0
0,24,4,0,149,0,4,3,2,0,3,2,60,2,1,1,1,0,0,0,1
0,15,2,0,232,0,2,1,1,0,3,2,28,2,0,0,2,0,0,0,0
0,24,2,4,183,1,2,3,1,0,1,2,32,2,1,0,1,0,0,0,1
3,24,4,4,464,4,4,3,2,0,3,1,53,2,1,1,2,0,0,0,0
0,30,0,9,852,4,1,1,2,0,2,2,25,0,1,2,2,0,0,0,0
1,24,2,1,903,0,4,3,1,0,1,3,44,2,2,0,3,0,1,0,1
3,24,2,4,608,2,4,2,2,0,1,2,31,2,1,0,2,1,1,0,0
3,9,4,0,401,0,2,3,2,0,3,2,48,2,1,2,2,0,1,0,0
0,6,2,4,498,2,2,1,2,0,2,0,44,2,0,0,2,1,0,0,0
0,10,4,0,422,0,1,0,2,0,2,0,48,2,0,1,1,1,0,1,0
1,12,4,1,322,1,1,2,2,0,3,1,44,2,1,0,2,0,0,0,0
3,10,4,3,387,4,2,1,3,0,0,2,26,2,1,1,2,0,0,1,0
0,6,2,3,222,0,2,0,2,0,1,0,36,0,1,0,1,0,1,0,0
3,6,0,4,10,0,4,3,3,0,3,2,39,2,1,0,1,0,0,0,0
2,12,1,4,9,3,2,2,1,0,2,0,42,2,0,1,2,0,0,0,0
1,7,2,4,463,0,2,2,2,2,1,0,34,2,1,0,2,0,0,0,0
0,60,3,9,808,0,4,2,2,0,3,3,63,2,1,1,2,0,1,0,1
1,18,2,9,349,3,1,2,3,0,2,0,36,0,1,0,2,0,1,0,0
0,24,2,3,682,0,2,1,2,0,1,2,27,1,1,0,2,0,0,0,0
1,18,2,0,768,1,2,1,2,0,1,2,30,2,1,1,2,0,1,0,0
3,12,4,9,178,4,4,3,2,0,3,3,57,2,0,0,1,0,0,0,0
2,12,2,3,253,0,1,3,1,0,0,1,33,0,1,0,3,0,1,0,0
1,45,4,4,725,0,1,3,2,0,1,1,25,2,1,1,1,0,0,0,1
3,48,4,7,776,0,2,0,2,0,2,3,31,0,2,0,2,0,1,0,0
2,18,2,4,391,0,2,3,2,1,1,0,37,1,1,0,2,0,0,0,1
2,10,2,5,163,0,2,1,2,0,1,2,37,2,1,0,2,0,1,0,0
1,9,2,4,15,0,2,3,2,0,2,0,24,2,1,0,2,0,0,0,0
3,30,2,4,447,2,4,3,2,0,1,2,30,0,1,0,3,0,0,0,0
1,12,2,4,138,2,2,2,0,0,0,2,26,2,1,0,2,0,1,0,0
1,18,3,6,781,0,2,1,2,0,3,0,44,2,1,0,1,1,1,0,0
0,30,4,1,779,1,3,0,3,0,3,2,24,2,0,1,2,0,0,0,0
0,48,4,1,777,0,4,3,1,0,3,3,58,1,2,1,1,0,0,0,1
3,11,4,0,230,0,1,3,1,0,3,2,35,2,1,1,3,0,0,0,0
3,36,2,4,434,2,4,3,2,0,3,2,39,2,1,0,2,0,0,0,0
0,6,2,1,213,2,0,0,1,0,1,1,23,2,0,0,0,0,1,0,0
3,11,4,0,821,0,2,0,2,0,3,1,39,2,1,1,1,0,0,0,0
3,12,2,4,388,1,2,3,1,1,1,0,28,2,1,0,2,0,0,0,0
1,24,3,3,447,4,1,3,2,0,1,1,29,0,1,0,1,0,0,0,0
1,27,3,1,772,0,4,0,2,0,1,2,30,2,1,1,3,0,1,0,0
3,12,2,4,177,0,2,2,2,0,1,2,25,2,1,0,2,0,0,0,0
3,18,2,1,598,4,2,1,2,0,0,1,31,2,1,0,2,0,1,0,0
1,36,3,0,419,0,4,3,2,0,3,3,57,0,2,1,2,0,1,0,1
3,6,1,0,64,4,2,0,2,2,1,0,26,1,1,0,1,1,0,0,0
1,12,2,4,797,4,0,1,2,0,0,3,52,2,1,0,3,0,1,0,1
3,36,4,4,876,0,2,1,1,0,1,2,31,1,1,1,2,0,0,0,0
2,18,2,0,366,0,4,2,1,0,1,2,23,2,1,0,3,0,0,0,0
0,36,4,3,783,0,1,3,1,1,3,3,23,2,0,1,1,0,1,0,1
1,9,2,9,229,0,2,1,3,0,0,0,27,0,1,0,2,0,1,0,0
1,15,4,4,275,4,4,3,2,2,3,0,50,2,1,1,2,0,1,0,0
1,36,0,9,364,0,4,3,2,0,3,3,61,2,2,0,3,0,1,0,1
1,48,0,9,912,0,2,1,2,0,1,2,25,2,1,0,2,0,1,0,1
3,24,2,4,580,0,1,3,1,0,3,1,26,2,1,0,2,0,1,0,0
3,27,2,6,746,4,4,3,2,0,3,1,48,2,1,3,2,1,1,0,0
3,12,2,4,410,0,1,1,1,0,1,2,29,0,1,0,2,0,0,0,0
1,12,2,0,107,3,2,3,3,0,0,0,22,2,1,0,2,0,0,0,0
3,36,2,7,325,0,2,3,2,0,3,3,37,1,2,0,2,0,1,0,1
3,36,2,4,459,4,2,3,1,0,3,2,25,2,1,0,2,0,0,0,0
3,36,2,1,854,0,2,0,1,0,1,1,30,0,1,0,2,0,0,0,0
3,7,4,4,51,4,4,3,2,0,1,1,46,2,0,1,1,0,1,0,0
0,8,4,2,140,0,4,2,2,0,3,3,51,0,2,1,3,1,1,0,0
1,42,4,9,771,0,3,1,1,0,0,0,41,0,1,1,1,0,0,0,0
0,36,2,7,370,4,4,3,2,0,3,3,40,2,1,0,3,0,1,0,1
0,12,4,1,270,0,4,3,2,0,3,3,66,2,2,1,3,0,0,0,0
