Hypocotyl colour,Stem determination,Days to 50% flowering,Flower colour,Leaf shape,Leaflet colour,Pubescence colour,Pubescence density,Pubescence type,Plant height,Number of primary branches,Pod colour,Number of pods per plant,Days to 80% maturity,Seed coat colour,Cotyledon colour,Hilum colour,Seed coat pattern,Strophiole at the hilum,Seed coat surface lusture,Number of seeds per pod,100 seed weight (g),Seed yield per plant (g),Days to pod initiation,Number of node per plant
1,2,53,2,1,2,2,1,1,54,6.8,3,59.8,111,3,1,1,0,1,0,2.2,6.5,2.5,65,14.2
1,2,57,2,1,2,2,1,1,67,3.4,1,33,108,3,1,1,0,1,0,2,6.2,3.92,64,15.2
1,0,47,2,1,2,0,1,2,38.4,2.8,3,68,115,3,1,1,0,1,0,2,6.9,4.36,61,12.8
1,2,54,2,1,2,2,1,2,60.8,4,2,34.6,106,3,1,1,0,1,0,1.8,6.1,3,65,13
1,2,52,2,1,2,2,1,1,89.6,5,1,32.6,105,4,1,1,0,1,0,2.2,7.3,3.4,62,14.8
1,2,55,2,1,2,2,0,1,97.8,5,1,38.2,106,3,1,1,0,1,0,2,6.9,5.16,65,13.8
1,0,51,1,1,1,2,2,2,33.4,5.4,1,49.6,109,3,1,0,1,1,1,2.4,10,5.86,61,10
0,0,36,3,1,0,1,2,2,30.2,3.8,1,41,90,4,1,1,0,1,0,2.8,9.8,6.58,45,9.6
1,0,50,1,1,1,2,1,2,49.6,4.8,2,59.2,105,4,1,1,1,1,1,2.4,10.3,5.28,62,13.4
1,0,47,2,1,1,2,0,1,31.2,4.4,2,29.6,106,3,1,0,0,1,0,2.8,12,7.26,58,10.4
0,0,41,3,1,1,2,0,0,25.8,6.4,1,44.6,110,3,1,1,1,1,0,2.4,13.5,10.86,55,8.6
1,0,43,2,1,0,2,3,0,37.4,4.8,1,84.6,103,4,1,0,1,1,1,2.6,10.7,19.78,55,11.4
1,2,56,2,1,2,2,1,1,78.8,7.4,1,49.2,108,3,1,1,0,1,0,2.2,7.1,4.9,68,14.8
1,0,47,2,1,2,2,0,2,39.8,4,2,80.4,114,3,1,4,0,1,1,2,8.2,5.06,55,10
1,2,52,2,1,2,1,0,2,58.6,5.6,1,42.4,117,0,1,0,0,1,1,1.8,5.5,2.1,65,14.2
0,0,45,3,1,1,2,0,2,53.4,4.8,2,33,103,3,1,1,0,1,1,2.4,7.5,1.46,58,12.4
1,2,53,2,1,2,2,0,1,92,4.6,1,35.8,108,3,1,1,0,1,0,2.4,6.1,2.72,64,17
1,2,58,1,1,2,2,0,1,70.6,6.6,1,54,110,3,1,1,0,1,0,1.8,5.4,3.6,69,14.8
1,2,57,2,1,2,2,1,1,81.8,4.2,1,22.4,109,3,1,1,0,1,0,2.4,6.9,6.84,69,14.8
0,0,40,3,2,0,1,2,2,37.6,4.8,2,47,91,3,1,0,0,1,0,2.6,10.5,9.4,48,11.8
1,2,57,2,1,2,2,1,1,72,3.6,2,31.8,111,0,1,0,0,0,1,2.4,3.8,5.48,67,13.6
1,2,55,2,1,2,2,1,1,57.2,5.8,1,60.2,107,3,1,1,0,1,0,2.4,7.2,6.34,63,15.8
1,2,56,2,1,2,1,1,1,64.2,6.2,1,48.8,108,3,1,1,0,1,0,2.6,6.3,3.88,71,13
1,0,47,2,1,2,2,1,1,57,5,3,79.4,111,3,1,6,0,1,1,2.4,8.6,5.6,62,15.6
1,2,46,2,1,2,1,1,2,65.8,5.2,3,92.4,109,3,1,1,0,1,0,2,6.6,3.76,55,14.6
0,0,48,3,1,1,2,0,2,53.6,4.2,3,30.6,107,3,1,0,0,1,0,2.6,8.4,5.18,61,12.2
0,0,51,3,1,1,2,0,1,41.2,5.8,1,67.6,103,3,1,1,0,1,0,2.8,9.6,10.42,59,10
1,0,44,2,0,1,2,3,0,28.5,4.5,1,49.5,106,3,1,1,0,1,1,2.6,7.5,1.72,58,9.5
1,2,54,1,1,2,2,1,1,91,6.6,1,66.6,104,3,1,1,0,1,0,2.6,6.5,2.62,61,18.8
1,2,55,2,1,2,2,1,1,53.4,6,2,62.6,113,3,1,1,0,1,1,2.2,6.5,3.58,68,13.4
0,0,47,3,1,1,2,0,2,41.4,3.6,1,81.8,104,3,1,1,0,1,0,2.4,10.3,15.06,58,11.6
1,2,58,2,1,2,2,1,1,57.2,5.8,1,68.2,106,4,1,1,0,1,0,2.4,5.8,2.68,66,13.2
1,2,55,2,1,2,2,1,1,59.2,6.2,1,136,108,3,1,1,0,1,0,2.6,6,4.4,71,17.4
1,2,52,2,1,2,2,0,1,62,3.8,3,27.8,104,3,1,1,0,1,0,2.4,5.8,2.8,62,13
1,2,62,2,1,2,2,1,1,71.2,5.2,3,23.6,108,3,1,1,0,1,0,2.4,7.2,1.72,71,13
1,2,48,2,1,2,2,1,2,73.25,3.25,1,58.25,110,3,1,1,0,1,1,2,9.5,5.12,58,15.75
1,0,51,2,1,1,2,0,1,49.6,4.2,2,70,115,3,1,4,0,1,0,2.4,13.4,14.86,62,10.6
1,2,56,2,1,2,2,1,1,43.6,3.8,3,32.8,112,3,1,1,0,1,0,2.2,6.2,1.3,66,10.6
1,2,58,2,1,2,2,1,1,63.2,5.8,1,41.4,106,3,1,1,0,1,0,2.4,6.9,3.64,67,16.4
1,0,47,2,1,1,1,3,0,60,5.7,1,73,88,4,1,4,0,1,0,2.2,7.9,8.6,55,12
0,0,43,3,1,1,2,2,2,24.6,6.2,1,83.4,106,3,1,0,0,1,0,2.6,9.1,14.34,57,9
0,0,41,3,1,1,2,2,2,30.6,4.2,2,43,107,1,0,0,0,1,0,2.4,9.5,7.54,51,9.8
1,2,55,2,1,2,2,0,2,55.2,3.6,1,42.2,104,3,1,1,0,1,0,2.6,6.3,3.42,62,12.6
1,2,57,2,1,2,2,1,1,69.4,5.8,1,44.2,116,3,1,1,0,1,0,2.4,7.6,1.66,64,16.4
0,2,47,3,1,2,2,1,1,60,6.6,2,110.6,115,0,1,0,1,0,0,2.4,6.1,4.6,59,15.4
1,0,45,2,2,1,2,3,0,25.4,5,2,62.6,105,3,1,0,0,1,1,2.2,10.1,12.8,58,10.8
1,2,56,2,1,2,1,1,1,45.2,5.6,2,67,103,3,1,1,0,1,0,2.2,6.6,3.34,62,15.6
0,0,46,3,2,1,2,1,2,17.33333333,4.666666667,1,58.33333333,101,3,1,0,0,1,0,2.2,10.1,2.96,58,7.666666667
1,0,45,2,1,1,2,3,0,40,5.8,3,104.2,109,3,1,0,0,1,1,1.8,11.3,12.92,56,12.4
1,0,41,2,1,0,2,2,0,24.4,2.8,1,35.4,114,3,1,0,0,1,0,2,6.4,1.5,54,11.2
1,2,57,2,1,2,2,1,1,52.4,3.8,3,32.8,108,3,1,1,0,1,0,2,7.3,1.86,65,10.6
1,0,43,2,1,1,2,2,2,74,3.6,1,41,90,1,0,1,0,1,0,2.2,7,4,51,15
1,0,44,2,1,1,1,1,2,22,6,1,82,112,3,1,0,1,1,0,1.8,6.5,1.3,55,8
1,2,56,2,1,2,2,0,1,74.4,6.2,1,79,105,3,1,1,0,1,0,2.2,6.7,1.98,67,14.6
0,0,39,3,2,0,2,0,1,29.6,5,2,47.2,89,3,1,0,0,1,0,2.6,11.5,9.6,48,11.4
1,2,56,2,1,2,2,0,2,74.8,4.4,3,42.4,117,0,1,0,0,0,1,2.4,6.7,1.88,67,14.4
1,0,43,2,1,1,2,1,2,74.4,2.6,1,34.8,88,3,1,1,0,1,0,2.4,6.6,3.8,55,12.4
1,2,57,2,1,2,2,0,1,56.4,4.2,1,57.4,116,3,1,1,0,1,0,2.8,6.7,4.28,68,14.6
0,0,36,3,1,1,2,2,0,21.2,3,3,33.4,90,3,1,1,0,1,0,2.6,14.2,6.48,45,8.8
1,2,45,2,1,2,2,1,1,51.8,7.8,3,132.2,108,4,1,1,0,1,0,2.4,7.6,10.06,58,17
0,0,37,3,1,1,2,0,2,58.8,5.4,2,59.8,103,3,1,1,1,1,0,2.6,15.1,13.96,51,13
0,0,39,3,1,1,2,0,2,38.2,6.8,1,76.6,114,4,1,0,0,1,0,2.6,10.1,16.86,51,11.6
1,0,41,2,1,1,0,0,2,30.6,7.6,1,74.2,111,3,1,0,1,1,0,2.4,8.2,5.38,50,10
1,2,56,2,1,2,1,1,1,59.4,6.2,1,61.4,109,3,1,1,0,1,0,1.8,6.5,0.98,71,15.6
1,2,55,2,1,2,2,1,1,46.2,4.4,1,25,116,0,1,0,0,0,1,2,6.5,1.92,68,14.8
1,2,54,2,1,2,2,0,1,71.6,6.8,2,67,115,0,1,0,0,0,1,1.8,7.4,7.62,65,21.4
1,2,55,2,1,1,2,1,2,87.2,4,1,46.8,116,0,1,0,0,0,1,2.4,6.9,2.86,62,13.4
1,0,43,1,1,2,2,0,1,47,4.4,1,58.8,110,4,1,0,0,1,0,2.2,8.8,8.36,58,11.6
1,2,61,2,1,2,2,1,1,83.6,5,3,26.8,116,3,1,6,0,1,0,2.4,8.7,3.32,69,18.4
1,2,51,2,1,2,2,0,2,57.4,4.8,1,28.8,109,4,1,1,1,1,1,2.6,7.6,2.8,60,13
1,2,54,2,1,2,2,1,1,55,5.4,1,65.2,107,3,1,1,0,1,0,1.8,6.8,5.58,65,13.6
1,0,41,2,2,0,2,0,1,37.2,5,2,68,99,3,1,1,0,1,1,2.2,13.1,12.9,52,9.8
1,2,53,2,1,2,2,1,1,60.6,3,1,22.4,106,3,1,0,0,1,0,2.2,5.3,5.44,64,11.6
1,2,54,2,1,2,2,1,1,65.6,5.2,1,50.6,104,3,1,1,0,1,0,2.6,6,3.66,61,13.2
1,2,55,2,1,2,2,1,1,57.4,5.2,2,51,106,3,1,1,0,1,0,2.2,6.2,3.28,64,13.6
1,2,57,2,1,2,2,0,1,71.8,8.4,1,123.4,108,4,1,1,0,1,0,2.4,5.8,0.9,69,16.4
1,2,51,2,1,2,2,1,1,54.8,4.8,2,58.4,106,3,1,1,0,1,0,2.2,6.1,5.2,64,14.6
1,2,54,2,1,2,2,1,1,82.8,4.2,1,85.4,104,3,1,1,0,1,0,2.6,6.6,6.2,64,15.6
1,0,48,2,1,1,2,3,0,27.5,5.5,1,93.5,116,3,1,0,1,1,1,2.4,6.3,2.26,57,14
1,2,55,2,1,2,2,1,1,49.2,7.2,2,92.2,107,4,1,1,0,1,0,2,6.2,3.7,62,15.6
1,2,40,2,1,2,2,0,0,44.4,2,2,27.4,92,1,0,0,0,1,1,3.4,7.5,4.48,51,13
1,0,43,2,1,1,2,1,2,24.4,2.4,1,37.8,111,1,0,1,0,1,0,2.6,9,4,56,9.2
0,0,50,3,1,1,2,1,2,42.8,3.4,1,38,108,3,1,0,0,0,0,2.4,7.7,5.22,62,10
1,2,55,2,1,2,2,1,1,34.8,4,1,46,104,3,1,1,0,1,0,2.4,7,2.76,67,9.8
1,2,56,2,1,2,2,1,1,49.6,4.4,1,43.6,106,3,1,1,0,1,0,2.2,7.6,2.72,66,12.4
1,0,41,0,2,0,2,2,2,40.8,5.6,2,61.6,87,3,1,1,0,1,0,2.8,12.3,10.8,50,13.2
1,2,51,2,1,2,2,1,1,65.6,2.8,2,62.4,103,3,1,1,0,1,0,2,7.2,7,62,13
0,0,47,3,1,1,2,0,1,32.8,3.6,1,75.4,106,3,1,1,0,1,0,2,9.5,11.94,56,14
0,0,50,3,1,1,2,0,2,21.8,2.8,1,48.6,115,4,1,1,1,1,0,2,9.9,3.62,58,8
1,2,51,1,1,2,2,1,1,60,5.6,1,42.2,105,3,1,1,0,1,1,2.4,7.8,4.18,62,13.6
1,2,55,2,1,2,2,1,1,52.8,5.6,2,45.6,107,4,1,1,0,1,0,2.2,6.8,1.32,63,11.4
0,0,43,3,1,1,2,0,1,23.5,2.75,2,45.5,103,3,1,0,0,1,1,1.8,7.3,0.52,51,8.75
0,0,43,3,1,1,2,0,1,31.3,4,1,37.2,115,3,1,0,0,1,0,2.2,9.3,5.1,54,8.5
1,2,51,2,1,2,2,1,1,51,3.4,3,43.2,107,3,1,1,0,1,0,2.4,6.7,4.62,64,13.4
1,2,48,2,1,2,2,0,1,53.4,3.8,1,59.6,112,4,1,1,0,1,0,2,9.3,4.9,59,1
0,0,44,3,1,0,2,1,1,35,6,1,52.8,101,3,1,0,0,1,0,2.4,13.4,13.34,57,9.6
1,0,55,2,1,1,2,1,1,26,8.6,1,46.2,112,3,1,1,1,1,0,2.2,8.2,4.76,63,11.2
1,0,47,1,1,1,2,2,2,38,3.6,1,63.2,109,4,1,1,0,1,1,2.4,8.2,5.08,57,12.4
1,0,47,2,1,2,2,0,1,33,3.8,1,74.6,116,4,1,6,0,1,0,2.6,7.8,5.1,60,13.2
1,0,55,2,1,2,0,1,2,55.8,3.6,3,76.6,102,4,1,1,1,1,0,2.2,6.9,8.4,62,16
1,2,56,2,1,2,2,1,1,47.4,5.6,2,35.6,107,3,1,0,0,1,1,2.4,5.9,1.74,67,14
1,2,50,2,1,2,2,1,1,62.2,5.8,3,10.8,115,0,1,0,0,0,1,1.8,6.1,1.8,63,14.4
1,0,46,2,1,1,2,1,2,42.75,5,1,32.5,103,3,1,0,0,1,0,2,11.8,6.76,56,13.5
1,2,56,2,1,2,2,1,1,60.6,7.8,1,43.8,114,0,1,0,0,0,1,2.2,7.1,1.98,64,18
1,2,57,2,1,2,2,0,1,65.8,3.8,1,60.4,107,3,1,1,0,1,0,2.2,7.3,2.52,66,15
0,2,51,3,1,1,2,1,1,34.6,4.8,1,45.8,114,3,1,0,0,1,0,2.6,9.1,6.68,64,10.8
1,0,55,2,1,2,2,1,1,22.4,6,1,46.6,112,3,1,0,0,1,0,2.4,7.8,4.16,63,10.2
